utterances,IOB Slot tags,Core Relations
when was black swan released,O O B_movie I_movie O,movie.initial_release_date
how long has black swan been out,O O O B_movie I_movie O O,movie.initial_release_date
find release date of the help,O O O O B_movie I_movie,movie.initial_release_date
when can the help be released,O O B_movie I_movie O O,movie.initial_release_date
tell me when compliance came out,O O O B_movie O O,movie.initial_release_date
when is sinister hitting theaters,O O B_movie O O,movie.initial_release_date
release date for the hunger games,O O O B_movie I_movie I_movie,movie.initial_release_date
when was the first hunger games shown,O O B_movie O I_movie I_movie O,movie.initial_release_date
when was avengers released,O O B_movie O,movie.initial_release_date
when was lawless released,O O B_movie O,movie.initial_release_date
release date of snow white and the huntsman,O O O B_movie I_movie I_movie I_movie I_movie,movie.initial_release_date
release date for amazing spiderman,O O O B_movie I_movie,movie.initial_release_date
when will the next amazing spiderman come out,O O O O B_movie I_movie O O,movie.initial_release_date
when was the amazing spiderman released in the movie theatres,O O B_movie I_movie I_movie O O B_movie O O,movie.initial_release_date
search for the release date of vulgaria,O O O O O O B_movie,movie.initial_release_date
when did vulgaria come out,O O B_movie O O,movie.initial_release_date
when was the movie vulgaria released,O O O O B_movie O,movie.initial_release_date
what date did vulgaria open,O O O B_movie O,movie.initial_release_date
when did dredd come out,O O B_movie O O,movie.initial_release_date
what year was the godfather released,O O O O B_movie O,movie.initial_release_date
release date for the watch,O O O B_movie I_movie,movie.initial_release_date
when was paranorman be released,O O B_movie O O,movie.initial_release_date
what year was the campaign released,O O O B_movie I_movie O,movie.initial_release_date
when was the campaign released,O O B_movie I_movie O,movie.initial_release_date
when was expendables 2 released,O O B_movie I_movie O,movie.initial_release_date
when is the release date of resident evil: retribution,O O O O O O B_movie I_movie I_movie,movie.initial_release_date
what is the calendar date release for looper,O O O O O O O B_movie,movie.initial_release_date
i would like to know the release date of the movie barfi,O O O O O O O O O O O B_movie,movie.initial_release_date
i need to know the release date of the movie barfi,O O O O O O O O O O B_movie,movie.initial_release_date
what is the release date of the movie barfi,O O O O O O O O B_movie,movie.initial_release_date
show me the release date of the movie barfi,O O O O O O O O B_movie,movie.initial_release_date
find the release date for heroine,O O O O O B_movie,movie.initial_release_date
please find the release date of heroine,O O O O O O B_movie,movie.initial_release_date
what is the release date of heroine,O O O O O O B_movie,movie.initial_release_date
when was herione released,O O B_movie O,movie.initial_release_date
when was the movie heroine released,O O O O B_movie O,movie.initial_release_date
when was house at the end of the street released,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O,movie.initial_release_date
when house at the end of the street showing,O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O,movie.initial_release_date
what is the release date for house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie,movie.initial_release_date
is iron man 3 in theatres yet,O B_movie I_movie I_movie O O O,movie.initial_release_date
when is iron man 3 coming out,O O B_movie I_movie I_movie O O,movie.initial_release_date
when will iron man 3 be out in movie theatres,O O B_movie I_movie I_movie O O O O O,movie.initial_release_date
show me movies listed by directors,O O O O O O,movie.directed_by
director for gone with the wind,O O B_movie I_movie I_movie I_movie,movie.directed_by
show me the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who are the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed gone with the wind,O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed gone with the wind,O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed gone with the wind,O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed the movie,O O I_movie O,movie.directed_by
show me details about the directors of gone with the wind,O O O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed black swan,O O B_movie I_movie,movie.directed_by
who made batman the dark knight,O O O B_movie I_movie I_movie,movie.directed_by
show me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie,movie.directed_by
tell me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie,movie.directed_by
who directed the movie the dark knight,O O O O B_movie I_movie I_movie,movie.directed_by
who filmed the dark knight,O O B_movie I_movie I_movie,movie.directed_by
who is the person that directed the film the dark knight,O O O O O O O O B_movie I_movie I_movie,movie.directed_by
who directed hard days night,O O B_movie I_movie I_movie,movie.directed_by
who directed cast away,O O B_movie I_movie,movie.directed_by
show me the director of forest gump,O O O O O B_movie I_movie,movie.directed_by
who was the director of forest gump,O O O O O B_movie I_movie,movie.directed_by
who is director of sleepless in seattle,O O O O B_movie I_movie I_movie,movie.directed_by
who directed the movie opening night,O O O O B_movie I_movie,movie.directed_by
who directed the movie men in black 3,O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who was the director in men in black 3,O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
can you tell me the director of the titanic,O O O O O O O O B_movie,movie.directed_by
director for titanic,O O B_movie,movie.directed_by
who was the director of the movie titanic,O O O O O O O B_movie,movie.directed_by
display director of the movie avengers,O O O O O B_movie,movie.directed_by
director of the avengers,O O B_movie I_movie,movie.directed_by
search director of the exorcist,O O O B_movie I_movie,movie.directed_by
find the director for the social network,O O O O B_movie I_movie I_movie,movie.directed_by
find the director of big,O O O O B_movie,movie.directed_by
who is the director of ghost busters,O O O O O B_movie I_movie,movie.directed_by
find the director for pretty woman,O O O O B_movie I_movie,movie.directed_by
who made godzilla,O O B_movie,movie.directed_by movie.produced_by
rocky director,B_movie O,movie.directed_by
who directed hope floats,O O B_movie I_movie,movie.directed_by
avatar was directed by whom,B_movie O O O O,movie.directed_by
director of avatar,O O B_movie,movie.directed_by
which director directed avatar,O O O B_movie,movie.directed_by
who did avatar,O O B_movie,movie.directed_by
who directed avatar,O O B_movie,movie.directed_by
who directed avatar,O O B_movie,movie.directed_by
who directed avatar,O O B_movie,movie.directed_by
who directed the film avatar,O O O O B_movie,movie.directed_by
who directed the movie called avatar,O O O O O B_movie,movie.directed_by
who made the movie avatar,O O O O B_movie,movie.directed_by
who was the director of the movie avatar,O O O O O O O B_movie,movie.directed_by
who directed star wars four,O O B_movie I_movie I_movie,movie.directed_by
who directed the movie in july,O O O O B_movie I_movie,movie.directed_by
who made steel magnolias,O O B_movie I_movie,movie.directed_by
the silence of the lambs director,I_movie I_movie I_movie I_movie I_movie O,movie.directed_by
director of the incredibles,O O B_movie I_movie,movie.directed_by
gilda director,B_movie O,movie.directed_by
list gilda director,O B_movie O,movie.directed_by
search director for gilda,O O O B_movie,movie.directed_by
search gilda director,O B_movie O,movie.directed_by
the movie gilda director,O O B_movie O,movie.directed_by
who directed gilda,O O B_movie,movie.directed_by
who directed gilda,O O B_movie,movie.directed_by
who directed gilda,O O B_movie,movie.directed_by
who directed the movie gilda,O O O O B_movie,movie.directed_by
goodfellas director,B_movie O,movie.directed_by
who made field of dreams,O O B_movie I_movie I_movie,movie.directed_by
who made the movie field of dreams,O O O O B_movie I_movie I_movie,movie.directed_by
who made the movie field of dreams possible,O O O O B_movie I_movie I_movie O,movie.directed_by
can i please see more details for the director of finding nemo,O O O O O O O O O O B_movie I_movie,movie.directed_by
find the director for finding nemo,O O O O B_movie I_movie,movie.directed_by
i want to know the director of finding nemo,O O O O O O O B_movie I_movie,movie.directed_by
i want to know who directed finding nemo,O O O O O O B_movie I_movie,movie.directed_by
show me finding nemo director,O O B_movie I_movie O,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who directed finding nemo,O O B_movie I_movie,movie.directed_by
who was the director of the film finding nemo,O O O O O O O B_movie I_movie,movie.directed_by
who directed hitch,O O B_movie,movie.directed_by
who made hitch,O O B_movie,movie.directed_by
director for anne of green gables,O O B_movie I_movie I_movie I_movie,movie.directed_by
search director of the movie platoon,O O O O O B_movie,movie.directed_by
who was the director of movie varsham,O O O O O O B_movie,movie.directed_by
who directed grizzly man,O O B_movie I_movie,movie.directed_by
who directed to kill a mockingbird,O O B_movie I_movie I_movie I_movie,movie.directed_by
who was the director of the movie e t,O O O O O O O B_movie I_movie,movie.directed_by
find the director for et,O O O O B_movie,movie.directed_by
who made et,O O B_movie,movie.directed_by
who was the director of the movie jaws,O O O O O O O B_movie,movie.directed_by
who directed jurassic park,O O B_movie I_movie,movie.directed_by
who directed jurassic park,O O B_movie I_movie,movie.directed_by
who directed jurassic park,O O B_movie I_movie,movie.directed_by
old man director,B_movie I_movie O,movie.directed_by
can you find out who directed the movie batman,O O O O O O O O B_movie,movie.directed_by
can you tell me who is the director of batman,O O O O O O O O O B_movie,movie.directed_by
who directed batman,O O B_movie,movie.directed_by
who is the director of batman,O O O O O B_movie,movie.directed_by
looper directors,B_movie O,movie.directed_by
who directed the perfect storm,O O B_movie I_movie I_movie,movie.directed_by
who directed dirty dancing,O O B_movie I_movie,movie.directed_by
director for pride and prejudice,O O B_movie I_movie I_movie,movie.directed_by
who directed the movie the thing called love,O O B_movie O B_movie I_movie I_movie I_movie,movie.directed_by
director of twilight,O O B_movie,movie.directed_by
twilight was directed by whom,B_movie O O O O,movie.directed_by
who else directs zombie movies,O O O B_subject O,movie.directed_by movie.subjects
director of hum tum,O O B_movie I_movie,movie.directed_by
director of the movie hum tum,O O O O B_movie I_movie,movie.directed_by
find the director of hum tum,O O O O B_movie I_movie,movie.directed_by
look for the director of hum tum,O O O O O B_movie I_movie,movie.directed_by
director of the cabin in the woods,O O B_movie I_movie I_movie I_movie I_movie,movie.directed_by
i am interested in who directed cabin in the woods,O O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
show me who directed cabin in the woods,O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed the movie cabin in the woods,O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed soul surfer,O O B_movie I_movie,movie.directed_by
who directed the sandlot,O O B_movie I_movie,movie.directed_by
which director made a comedy,O O O O B_genre,movie.directed_by movie.genre
director of halloween,O O B_movie,movie.directed_by
find the director of step up,O O O O B_movie I_movie,movie.directed_by
search for the director of step up,O O O O O B_movie I_movie,movie.directed_by
search for the director of step up,O O O O O B_movie I_movie,movie.directed_by
i need to know who directed black swan,O O O O O O B_movie I_movie,movie.directed_by
i want to look for the director of freedom writers,O O O O O O O O B_movie I_movie,movie.directed_by
i would like to look for the director of freedom writers,O O O O O O O O O B_movie I_movie,movie.directed_by
who directed the movie titanic,O O O O B_movie,movie.directed_by
who was the director of the movie the mechanic,O O O O O O O B_movie I_movie,movie.directed_by
find the director of mask,O O O O B_movie,movie.directed_by
director of the hulk,O O O B_movie,movie.directed_by
did robert wise direct the sound of music,O B_director I_director O B_movie I_movie I_movie I_movie,movie.directed_by
was robert wise the only director of the sound of music,O B_director I_director O O O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed the sound of music,O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed the sound of music,O O B_movie I_movie I_movie I_movie,movie.directed_by
who directed the sound of music,O O B_movie I_movie I_movie I_movie,movie.directed_by
what director shot the 1st lord of the rings film,O O O O O B_movie I_movie I_movie I_movie O,movie.directed_by
who directed return,O O B_movie,movie.directed_by
who is the director of return,O O O O O B_movie,movie.directed_by
search for the name of the director of return,O O O O O O O O B_movie,movie.directed_by
what was the name of the director in men in black 3,O O O O O O O O B_movie I_movie I_movie I_movie,movie.directed_by
what is the name of the director of the movie avengers,O O O O O O O O O O B_movie,movie.directed_by
find the name of the director of chips,O O O O O O O B_movie,movie.directed_by
name of director for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie,movie.directed_by
name the director of sleepless in seattle,O O O O B_movie I_movie I_movie,movie.directed_by
find name of director of the movie platoon,O O O O O O O B_movie,movie.directed_by
get me the name of who directed the master,O O B_movie O O O O B_movie I_movie,movie.directed_by
what is the director's name of lord of the rings,O O I_movie O O I_movie I_movie I_movie I_movie I_movie,movie.directed_by
what is the name of the person who made et,O O O O O O O O O O,movie.directed_by
rocky director's name,B_movie O O,movie.directed_by
what type of movie is gilda,O O O O O B_movie,movie.genre
what types of movies does lionsgate produce,O O O O O B_producer O,movie.production_companies movie.genre
what kind of movie is black swan,O O O O O B_movie I_movie,movie.genre
what genre is the hunger games,O O O B_movie I_movie I_movie,movie.genre
genre for transformers,O O B_movie,movie.genre
what genre is looper,O O O B_movie,movie.genre
what genre is the movie looper,O O O O O B_movie,movie.genre
what genre is rambo,O O O B_movie,movie.genre
what genre is the jaws movies,O O O O B_movie O,movie.genre
can you tell me the genre for 1000 words,O O O O O O O B_movie I_movie,movie.genre
i am interested in the genre for 1000 words,O O O O O O O B_movie I_movie,movie.genre
what type of movie is parenthood,O O O O O B_movie,movie.genre
give me the genre of the movie lawless,O O O O O O O B_movie,movie.genre
what genre is the movie lawless,O O O O O B_movie,movie.genre
what is the genre of the movie lawless,O O O O O O O B_movie,movie.genre
what genre is the movie in july,O O O O O B_movie I_movie,movie.genre
genre for gone with the wind,O O B_movie I_movie I_movie I_movie,movie.genre
how is the movie classified,O O O O O,movie.genre
what genre is the movie,O O O O O,movie.genre
what is the movie category,O O O O O,movie.genre
how would you describe the movie,O O O O O O,movie.genre
type of movie,O O O,movie.genre
what is the classification of movie,O O O O O O,movie.genre
what is the genre for movie,O O O O O O,movie.genre
what is the movie genre,O O O O O,movie.genre
what kind of movie,O O O O,movie.genre
what type of movie is this,O O O O O O,movie.genre
i would like look up the genre step up is in,O O O O O O O B_movie I_movie O O,movie.genre
search for the genre step up in,O O O O B_movie I_movie O,movie.genre
what genre is step up in,O O O B_movie I_movie O,movie.genre
what genre is calendar girls in,O O O B_movie I_movie O,movie.genre
what is the genre for the patriot,O O B_movie O O B_movie I_movie,movie.genre
what genre is network in,O O O B_movie O,movie.genre
find out the genre for the movie rebel,O O O O O O O B_movie,movie.genre
genre for the avengers,O O B_movie I_movie,movie.genre
can you tell me what genre the movie avatar falls in,O O O O O O O O B_movie O O,movie.genre
i need to know the genre of the movie avatar,O O O O O O O O O B_movie,movie.genre
show me the genre of the movie avatar,O O O O O O O B_movie,movie.genre
what genre is superman,O O O B_movie,movie.genre
pretty girl movie genre,B_movie I_movie O O,movie.genre
what genre is pretty girl,O O O B_movie I_movie,movie.genre
what genre is the movie pretty girl,O O O O O B_movie I_movie,movie.genre
find out what kind of movie grease is,O O O O O O B_movie O,movie.genre
i d like to know the genre of the film grease,O O O O O O O O O O B_movie,movie.genre
i would like to know the genre of grease,O O O O O O O O B_movie,movie.genre
what kind of movie is grease,O O O O O B_movie,movie.genre
find out the genre for the movie annamayya,O O O O O O O B_movie,movie.genre
what movie category is friday the 13th,O O O O B_movie I_movie I_movie,movie.genre
tell me what genre the tommyknockers is,O O O O B_movie I_movie O,movie.genre
what genre is the hangover,O O O B_movie I_movie,movie.genre
what catergory is ted in,O O O B_movie O,movie.genre
what genre is ted considered,O O O B_movie O,movie.genre
what type of movie is ted considered to be,O O O O O B_movie O O O,movie.genre
genre for while you were sleeping,O O B_movie I_movie I_movie I_movie,movie.genre
what genre is finding nemo,O O O B_movie I_movie,movie.genre
which language is used in the movie,O O O O O O O,movie.language
language of sound of music,O I_movie I_movie I_movie I_movie,movie.language
what language is this film,O O O O O,movie.language
what are the different languages this movie come in,O O O O O O O O O,movie.language
what foreign language is spoken in movie,O O O O O O O,movie.language
what language is movie in,O O O O O,movie.language
what language is the movie in,O O O O O O,movie.language
what language is the movie in,O O O O O O,movie.language
language of anna karinia,O O B_movie I_movie,movie.language
language of godzilla movie,O O B_movie O,movie.language
language of hamlet,O O B_movie,movie.language
can you tell me the language of the movie hero,O O O O O O O O O B_movie,movie.language
i need to know what is the language of the movie hero,O O O O O O O O O O O B_movie,movie.language
tell me what is the language of the movie hero,O O O O O O O O O B_movie,movie.language
language of bullhead,O O B_movie,movie.language
what language did the characters speak in black swan,O O O O O O O B_movie I_movie,movie.language
what language is black swan,O O O B_movie I_movie,movie.language
please find what language the chaser is in,O O O O B_movie I_movie O O,movie.language
what language is the chaser in,O O O B_movie I_movie O,movie.language
look up what language the chaser is in,O O O O B_movie I_movie O O,movie.language
what language is la havre in,O O O B_movie I_movie O,movie.language
what foreign language is the movie belle available to view in,O O O O O O B_movie O O O O,movie.language
what language can i watch the movie the professional,O O O O O O O B_movie I_movie,movie.language
what language is the professional in,O O O B_movie I_movie O,movie.language
how do they speak in the movie the professional,O O O O O O O B_movie I_movie,movie.language
what language is spoken in indochine,O O O O O B_movie,movie.language
language of the film revanche,O O O O B_movie,movie.language
what language was aguirre wrath of god in,O O O B_movie I_movie I_movie I_movie O,movie.language
what language is passion of the christ in,O O O B_movie I_movie I_movie I_movie O,movie.language
i want to know in what language was ju on filmed,O O O O O O O O B_movie I-movie O,movie.language
i want to know the original language of ju on,O O O O O O O O B_movie I_movie,movie.language
tell me the language of ju on,O O O O O B_movie I_movie,movie.language
what language is ju on on,O O O B_movie I_movie O,movie.language
what language is the movie elling in,O O O O O B_movie O,movie.language
language of a separation,O O B_movie I_movie,movie.language
what s the language of moscow does not believe in tears,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie,movie.language
what is the language of the movie aankhen,O O O O O O O B_movie,movie.language
can you tell me the language of the movie aankhen,O O O O O O O O O B_movie,movie.language
what are the names of films produced by steven spielberg,O O O O O O O O B_producer I_producer,movie.produced_by
can you tell me names of some movies by director martin scorsese,O O O O O O O O O O B_director I_director,movie.directed_by
find movie titles,O O O,
what are the names of movies made in the united states,O O O O O O O O O B_country I_country,movie.country
i would like to know the names of all the movies which have been directed by james cameron,O O O O O O O O O O O O O O O O B_director I_director,movie.directed_by
what are the titles of all the movies that george lucas produced,O O O O O O O O O B_producer I_producer O,movie.produced_by
names of romantic indian films,O O B_genre B_country O,movie.country movie.language movie.genre
can you show me names of some indian romantic movies,O O O O O O O B_country B_genre O,movie.country movie.language movie.genre
i would like to know names of some indian movies,O O O O O O O O B_country O,movie.country movie.language
japanese movie titles,B_country O O,movie.country movie.language
can you give me names of some movies having pg thirteen rating,O O O O O O O O O B_mpaa_rating I_mpaa_rating O,movie.rating
i would like to get names of some movies with pg thirteen rating,O O O O O O O O O O B_mpaa_rating I_mpaa_rating O,movie.rating
show me names of some romantic movies having a pg thirteen rating,O O O O O B_genre O O O B_mpaa_rating I_mpaa_rating O,movie.rating movie.genre
what are the names of movies with zombies in them,O O O O O O O B_subject O O,movie.subjects
i need to know the names of all the movies produced by william packer,O O O O O O O O O O O O B_producer I_producer,movie.produced_by
stephen king directed what movie,B_director I_director O O O,movie.directed_by
what movies did stephen king direct,O O O B_director I_director O,movie.directed_by
watch the last james cameron movie,O O O B_director I_director O,movie.directed_by movie.initial_release_date
find movies by release date,O O O O O,movie.initial_release_date
show movie ratings,O O O,movie.rating
movie ratings,O O,movie.rating
richard lester produced what other movies,B_producer I_producer O O O O,movie.produced_by
show me westerns,O O B_genre,movie.genre
was kevin bacon in apollo thirteen,O B_cast I_cast O B_movie I_movie,movie.starring.actor
i need movie information for life is beautiful,O O O O O B_movie I_movie I_movie,
life is beautiful movie page,B_movie I_movie I_movie O O,
i want to know more about the movie life is beautiful,O O O O O O O O B_movie I_movie I_movie,
i would like info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie,
please show me info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie,
search for the movie life is beautiful,O O O O B_movie I_movie I_movie,
what are the particulars for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie,
can i see more info the movie life is beautiful,O O O O O O O B_movie I_movie I_movie,
can you show me info on the movie life is beautiful please,O O O O O O O O B_movie I_movie I_movie O,
display information for the movie life is beautiful,O O O O O B_movie I_movie I_movie,
find movies about dancing,O O O B_subject,movie.subjects
i want to look up movies about dancing,O O O O O O O B_subject,movie.subjects
look up movies about dancing,O O O O B_subject,movie.subjects
search for movies about dancing,O O O O B_subject,movie.subjects
give me a list of will ferrell films,O O O O O B_person I_person O,movie.starring.actor
i want to see any movies will ferrell has been in,O O O O O O B_cast I_cast O O O,movie.starring.actor
i would like to see will ferrell movies,O O O O O B_person I_person O,movie.starring.actor
list will ferrell films,O B_person I_person O,movie.starring.actor
movies will ferrell played in,O B_cast I_cast O O,movie.starring.actor
what are some films will ferrell starred in,O O O O B_cast I_cast O O,movie.starring.actor
what movies has will ferrell been in,O O O B_cast I_cast O O,movie.starring.actor
what movies is will ferrell in,O O O B_cast I_cast O,movie.starring.actor
will ferrell films,B_person I_person O,movie.starring.actor
will ferrell movies,B_person I_person O,movie.starring.actor
will ferrell movies,B_person I_person O,movie.starring.actor
will ferell videos,B_person I_person O,movie.starring.actor
i want to see videos of will ferrell,O O O O O O B_person I_person,movie.starring.actor
all videos of will ferrell,O O O B_person I_person,movie.starring.actor
can you find me movies in russian,O O O O O O B_language,movie.language
where can i find movies in russian,O O O O O O B_language,movie.language
find russian movies,O B_country O,movie.country movie.language
find russian movies,O B_country O,movie.country movie.language
search for russian movies,O O B_country O,movie.country movie.language
show me movies from poland,O O O O B_country,movie.country
i would like to see a polish language film,O O O O O O B_language I_language O,movie.language
i am interested in watching a movie in polish,O O O O O O O O B_language,movie.language
i want to see a polish movie,O O O O O O O,movie.country movie.language
list some funny russian movies,O O O O O,movie.country movie.language movie.genre
i am looking for the information on the movie pretty women,O O O O O O O O O B_movie I_movie,
list of barry sonnenfeld films,O O B_director I_director O,movie.directed_by
find martin scorsese films,O B_director I_director O,movie.directed_by
i want to see a movie which was directed by scorsese,O O O O O O O O O O B_director,movie.directed_by
show all movies directed by martin scorcese,O O O O O B_director I_director,movie.directed_by
movies with meg ryan,O O B_cast I_cast,movie.starring.actor
gross earnings for movies,O O O O,movie.gross_revenue
i want to watch movies directed by jackie chan,O O O O O O O B_director I_director,movie.directed_by
star wars,B_movie I_movie,
what are the plots of hotel rwanda,O O O O O B_movie I_movie,
tim burton movies,B_director I_director O,movie.directed_by
bings movie page finding nemo,O O O B_movie I_movie,
display information for film finding nemo,O O O O B_movie I_movie,
finding nemo movie shortcut,B_movie I_movie O O,
whats some details for the movie finding nemo,O O O O O O B_movie I_movie,
show all details of original finding nemo movie,O O O O O B_movie I_movie O,movie.initial_release_date
get details of original finding nemo movie,O O O O B_movie I_movie O,movie.initial_release_date
finding nemo movie page,B_movie I_movie O O,
find movie finding nemo,O O B_movie I_movie,
display all details of original finding nemo movie,O O O O O B_movie I_movie O,
find all details of original finding nemo movie,O O O O O B_movie I_movie O,
what has andrew stanton directed,O O B_director I_director O,movie.directed_by
what movies has andrew stanton directed,O O O B_director I_director O,movie.directed_by
what did lee unkrich direct,O O B_director I_director O,movie.directed_by
i would like to see a movie with albert brooks in it,O O O O O O O O B_cast I_cast O O,movie.starring.actor
find me films produced by drew barrymore,O O O O O B_producer I_producer,movie.produced_by
what movies that clint eastwood starred in did he also direct,O O O B_director I_director O O O O O O,movie.starring.actor movie.directed_by
what movies did clint eastwood direct and star in,O O O B_director I_director O O O O,movie.starring.actor movie.directed_by
i want to watch a movie by sergio leone,O O O O O O O B_director I_director,movie.directed_by
show me movies directed by sergio leone,O O O O O B_director I_director,movie.directed_by
movies that have been directed by tony scott,O O O O O O B_director I_director,movie.directed_by
show me movies from brazil,O O O O B_country,movie.country
show me horror movie earnings,O O B_genre O O,movie.gross_revenue movie.genre
movies with harrison ford,O O B_cast I_cast,movie.starring.actor
show me only movies with harrison ford,O O O O O B_cast I_cast,movie.starring.actor
name the movies clive owen has been in,O O O B_cast I_cast O O O,movie.starring.actor
what movies has clive owen been in,O O O B_cast I_cast O O,movie.starring.actor
what movies has clive owen starred in,O O O B_cast I_cast O O,movie.starring.actor
find ms. congeniality,O B_movie I_movie,
find spike lee directed movies,O B_director I_director O O,movie.directed_by
what movies did spike lee direct,O O O B_director I_director O,movie.directed_by
movies cecil b demille,O B_person I_person I_person,movie.directed_by
i want to see a comedy in spanish,O O O O O B_genre O B_language,movie.language movie.genre
find films,O O,
find films,O O,
find movies,O O,
in search for movies,O O O O,
looking for movies,O O O,
find a movie,O O O,
are there movies not rated g,O O O O O B_mpaa_rating,movie.rating
can you find some drama movies,O O O O B_genre O,movie.genre
i'd like to watch something with drama,O O O O O O B_genre,movie.genre
looking for a drama movie,O O O B_genre O,movie.genre
show me a list of movies in english,O O O O O O O B_language,movie.language
show me english movies,O O B_language O,movie.language
find english movies,O B_language O,movie.language
can i get a list of movies available in english,O O O O O O O O O B_language,movie.language
show me movies in english,O O O O B_language,movie.language
i would like to see movies in english,O O O O O O O B_language,movie.language
movies in english,O O B_language,movie.language
show me a list of all movies made in the united states,O O O O O O O O O O B_country I_country,movie.country
what are all movies made by united states,O O O O O O B_country I_country,movie.country
what movies have been made in the united states,O O O O O O O B_country I_country,movie.country
movies from the us,O O O B_country,movie.country
what are all of the movies made in usa,O O O O O O O O B_country,movie.country
i want to see movies made in america,O O O O O O O B_country,movie.country
show me a list of movies made in america,O O O O O O O O B_country,movie.country
show me movies made in america,O O O O O B_country,movie.country
please tell me if you have any movies from the united states,O O O O O O O O O O B_country I_country,movie.country
movies from the us,O O O B_country,movie.country
please tell me about movies from the usa,O O O O O O O B_country,movie.country
english movie list,B_language O O,movie.country movie.language
show me thrillers,O O B_genre,movie.genre
show me thrillers,O O B_genre,movie.genre
show me comedies,O O B_genre,movie.genre
looking for a comedy movie,O O O B_genre O,movie.genre
see comedy,O B_genre,movie.genre
show me comedy movies,O O B_genre O,movie.genre
show me funny movies,O O B_genre O,movie.genre
movies that have comedy,O O O B_genre,movie.genre
can you show me a list of scary movies,O O O O O O O B_genre O,movie.genre
i am in the mood for a horror film,O O O O O O O B_genre O,movie.genre
looking for a horror movie,O O O B_genre O,movie.genre
search for horror movies,O O B_genre O,movie.genre
show me horror movies,O O B_genre O,movie.genre
show only horror movies,O O B_genre O,movie.genre
show me a list of scary movies,O O O O O B_genre O,movie.genre
i want to see a list of scary movies,O O O O O O O B_genre O,movie.genre
funny scary movies,B_genre I_genre O,movie.genre
movies by producer,O O O,movie.produced_by
find movies by producer,O O O O,movie.produced_by
movies with bruce willis,O O B_cast I_cast,movie.starring.actor
clint eastwood movies,B_person I_person O,movie.starring.actor
find movies from canada,O O O B_country,movie.country
get me canadian movies,O O B_country O,movie.country
show me movies from canada,O O O O B_country,movie.country
look up information about canadian movies,O O O O B_country O,movie.country
get movies from canada,O O O B_country,movie.country
show me a list of any movies made in canada,O O O O O O O O O B_country,movie.country
find movies filmed in canada,O O O O B_country,movie.country
get films made in canada,O O O O B_country,movie.country
show me canadian films,O O B_country O,movie.country
show me canadian movies,O O B_country O,movie.country
are there any canadian movies,O O O B_country O,movie.country
are there any canadian movies,O O O B_country O,movie.country
find canadian films,O B_country O,movie.country
what are some movies made outside the us,O O O O O O O B_country,movie.country
movies from germany,O O B_country,movie.country
i want to watch movies from germany,O O O O O O B_country,movie.country
display movies made in germany,O O O O B_country,movie.country
find movies done in germany,O O O O B_country,movie.country
what movies do you have that were made in italy,O O O O O O O O O B_country,movie.country
movies from italy,O O B_country,movie.country
does italy make any movies,O B_country O O O,movie.country
find italian movies,O B_country O,movie.country movie.language
italian films,B_country O,movie.country movie.language
italian movies,B_country O,movie.country movie.language
show me italian movies,O O B_country O,movie.country movie.language
get all italian language movies,O O B_language I_language O,movie.language
send me movies that are in italian,O O O O O O B_language,movie.language
movies with italian language,O O B_language I_language,movie.language
show me movies in italian,O O O O B_language,movie.language
what movies are in italian,O O O O B_language,movie.language
search for movies in italian,O O O O B_language,movie.language
find movies in italian,O O O B_language,movie.language
a list of all italian speaking movies,O O O O B_language O O,movie.language
give me a list of movies from spain,O O O O O O O B_country,movie.country
see movies from spain,O O O B_country,movie.country
movies from spain,O O B_country,movie.country
movies from spain,O O B_country,movie.country
i want to see movies from spain,O O O O O O B_country,movie.country
movies made in spain,O O O B_country,movie.country
